Sno,Which of the following best describes your age?,What gender do you most identify with?,Are you a registered to vote?,Are you registered to vote at the current address you reside at?,Do you feel that you fully understand the election process?,In the last 5 years did you vote in a local election? This includes voting for Councillor & mayors,Did you voted in the  2021 elections?,"If not voted, why ?",On what basis do you assess a political candidate?,Which of the following best describes your decision to vote in the 2021 election?,On what basis you select your political candidate.,Contributed or collected money,Attended election meetings/rallies,Participated in door to door canvassing,Distributed election leaflets or put up posters,Do you think the existing government is going in the right direction to benefit Tamil Nadu's people?,How would you rate Edappadi Palanisamy’s performance as the Chief Minister of Tamil Nadu ,What is your assessment of the performance of the AIADMK government in Tamil Nadu in the last five years? Would you say that you have been satisfied or dissatisfied with it? ,During the last two- three years have you or any of your family members benefited from any Government scheme ? ,On the day of voting will you vote for the same party which you voted now or your decision may change? ,Which party do you support in your ward?,What is your opinion about the candidate? ,Which party will rule Tamil Nadu for the next five years?,Why do you think your candidate will win?
11,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,Star candidate and leader of the party with fame and good gesture and weak opposition as per our consistency and makes him more powerful in this region,M. A. Stalin,No big parties directly competing and anti incompetency in both parties within their own party and with people may cause victory for new one.
12,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,DMK / CONGRESS,Good,M. A. Stalin,Because people hope that he should come and people have faced lot of problems from current government
13,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,MNM,Has good knowledge need the opportunity to show his leadership skills,M. A. Stalin,I think the youth will preder mnm or ntk
14,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,I'm not sure,May change,MNM,Inspiring,Kamal Haasan,M. A. Stalin
15,18 - 24,Male,Yes,No,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,No,Yes,Yes,Neutral,Fully dissatisfied,No,May change,MNM,Good,Kamal Haasan,Mnm
16,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Fully dissatisfied,No,Not prefer to say,DMK / CONGRESS,Has clear perspective,M. A. Stalin,clear perspective
17,25 - 40,Male,Yes,No,A moderate amount,No,No,I do not have reliable transportation to voting poll,I research all the channels before making my choice,Other,On the basis on their promises,No,No,No,No,No,Good,I'm not sure,I'm not sure,May change,Others,No opinion,M. A. Stalin,Just an intuition
18,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,Yes,Yes,No,Bad,I'm not sure,No,Not prefer to say,DMK / CONGRESS,Ok,M. A. Stalin,His promises
19,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Fully satisfied,Yes,Vote for the same party,MNM,Fair enough ,Kamal Haasan,Based on their promises
20,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Very good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,He is a good candidate,Edappadi Palanisamy,He is a very attentive to people's problems
21,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Not prefer to say,DMK / CONGRESS,Good one...,M. A. Stalin,Past 10 yrs TN faced lots of issues... For the change in govt I think sooo
22,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,Good person and has brought new schemes in our area,Edappadi Palanisamy,He has done many things for ppl besides other candidates.
23,18 - 24,Female,Yes,Yes,A little,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,May change,AIADMK / BJP,good,Edappadi Palanisamy,he has experience and is a promising leader
24,18 - 24,Female,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,No,Yes,No,Yes,Very Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,Promises are strong.,M. A. Stalin,Governance of ruling party are bad so there will be a change of government.
25,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,No,May change,AIADMK / BJP,Found that they can contribute more to the society in upcoming years,Edappadi Palanisamy,Previous experience 
26,25 - 40,Male,Yes,Yes,A lot,No,Yes,,Other,Other,On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,May change,MNM,Obviously i dnt know about the candidate..i choosed him because of gave new and alternative options against the Dravidam..,M. A. Stalin,I dnt think my candidate gonna win
27,Above 50,Male,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,All people especially Christians will live peacefully ,M. A. Stalin,I wish
28,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Somewhat satisfied,I'm not sure,Not prefer to say,MNM,Cool,M. A. Stalin,___
29,Above 50,Male,Yes,Yes,A lot,No,Yes,,Other,Other,On the basis of past experience/Leadership,No,No,No,No,No,Very good,Somewhat satisfied,No,Vote for the same party,MNM,has got a vision to do something for the people,M. A. Stalin,youngsters support
30,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,I'm not sure,No,Not prefer to say,MNM,Much needed,Kamal Haasan,Mnm
31,18 - 24,Male,Yes,Yes,A lot,No,Yes,I am not registered,Other,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,"No
",Others,Nil
32,Above 50,Male,Yes,Yes,A little,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,He will help all people including Christians live peacefully,M. A. Stalin,I wish
33,25 - 40,Female,Yes,Yes,None at all,Yes,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",Yes,No,No,No,No,Neutral,Somewhat satisfied,No,Not prefer to say,NOTA,Not sure,Edappadi Palanisamy,Beacause of Amma 
34,18 - 24,Female,Yes,No,A lot,No,No,I do not have reliable transportation to voting poll,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very good,Somewhat satisfied,No,May change,AIADMK / BJP,Nil,Edappadi Palanisamy,Nil
35,18 - 24,Male,Yes,Yes,A lot,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,Yes,Vote for the same party,MNM,He may do good thing I think,M. A. Stalin,His influence over our place
36,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,Not prefer to say,MNM,Good,Kamal Haasan,Kamal
37,18 - 24,Male,Yes,No,A moderate amount,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,Others,Good,M. A. Stalin,-
38,18 - 24,Male,Yes,Yes,A lot,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,DMK / CONGRESS,Hard worker,M. A. Stalin,Yes
39,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,May change,Others,nothing,Edappadi Palanisamy,people feel
40,18 - 24,Male,No,No,A lot,No,No,"I'm Eligible to vote, but not having Voter ID",News on TV,Other,On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,May change,MNM,Comparing to the other candidates.. So i believe this ,Edappadi Palanisamy,There is no way
41,18 - 24,Male,Yes,Yes,A lot,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,NTK,No,M. A. Stalin,Because of his promises
42,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Change ,M. A. Stalin,Because the party ruled last time was not stable with their promises 
43,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very good,Somewhat dissatisfied,No,Vote for the same party,MNM,The leader of the party is trustworthy,M. A. Stalin,They have used the cons of ruling party as thier advantage
44,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,DMK / CONGRESS,Good ,M. A. Stalin,Good skill
45,18 - 24,Male,Yes,Yes,A little,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,If he wins he will statisfy people,Edappadi Palanisamy,Our thought
46,18 - 24,Male,Yes,Yes,A moderate amount,Yes,No,I do not have reliable transportation to voting poll,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,NTK,New one. So expect change,M. A. Stalin,Social media support
47,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,No,No,Yes,Good,Somewhat satisfied,No,May change,Others,Have 2support people& government,Others,Have 2do to people & government
48,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,I'm not sure,May change,DMK / CONGRESS,The candidate has got good helping mind ,M. A. Stalin,Cause the opposite candidate is weak
49,18 - 24,Male,Yes,Yes,None at all,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,No,No,No,No,Good,Somewhat dissatisfied,Yes,May change,MNM,Idk,Kamal Haasan,Idk
50,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,he is a eligibility of rule of Tamilnadu ,M. A. Stalin,he have a many support 
51,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NOTA,Not to mention,Others,People support
52,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, but I am not sure who I will vote for yet.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,Local person ,M. A. Stalin,Change is required 
53,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,MNM,Good,M. A. Stalin, I believe their party... because of their strength of educated candidates
54,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Good,Somewhat satisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Nothing,M. A. Stalin,Majority party
55,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Good person,Edappadi Palanisamy,Yes
56,25 - 40,Male,Yes,No,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,Yes,No,No,No,Neutral,Somewhat satisfied,No,May change,NTK,Good,Seeman,Didn't gave any Money.
57,25 - 40,Male,Yes,Yes,A little,No,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,Yes,No,Very Bad,I'm not sure,I'm not sure,Not prefer to say,Others,Good  leadership,M. A. Stalin,I'm not sure
58,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,MNM,Good person ,M. A. Stalin,I am not sure. But I support to him
59,18 - 24,Male,Yes,Yes,A little,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,I'm not sure,I'm not sure,Not prefer to say,Others,Nothing,Others,I don't no
60,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,No,Neutral,Somewhat satisfied,No,May change,DMK / CONGRESS,An educated person,M. A. Stalin,Prefer not to answer
61,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,Other,Other,On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,I'm not sure,Vote for the same party,DMK / CONGRESS,It cannot be disclosed ( Personal point of view),M. A. Stalin,Not sure.
62,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,Yes,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Good,Edappadi Palanisamy,He has good leadership skills 
63,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,Yes,Not prefer to say,DMK / CONGRESS,Experienced and mediocre performer. ,M. A. Stalin,May be due to people's disappointment with the current MLA and the party. 
64,Above 50,Female,Yes,No,A little,Yes,No,I do not have reliable transportation to voting poll,News on TV,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,DMK / CONGRESS,They've beneficial scheme for people,Edappadi Palanisamy,Because of majority and the way he handled pandamic.
65,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,His involvement,Kamal Haasan,His involvement and bringing new technology might change TN
66,Above 50,Male,Yes,Yes,A little,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,Must give a chance,Edappadi Palanisamy,Good canvassing 
67,25 - 40,Female,Yes,Yes,A moderate amount,No,Yes,,Other,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,Others,Nothing,M. A. Stalin,I don't think  my candidate will win 
68,Above 50,Male,Yes,No,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,Yes,Yes,Good,Somewhat satisfied,I'm not sure,Vote for the same party,AIADMK / BJP,Past experiences,Edappadi Palanisamy,Having majority and Collaboration with BJP 
69,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,MNM,Nil,M. A. Stalin,Nil
70,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,The one values people but the not the post he is elected should be the one,M. A. Stalin,As my research people are saying it's better to be anyone than admk..so as dmk is a bigger party they are gonna win
71,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Change ,M. A. Stalin,Because the party ruled last time was not stable with their promises 
72,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,NTK,Not bad ,M. A. Stalin,No
73,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,Nice man,M. A. Stalin,He is a good person 
74,18 - 24,Male,Yes,Yes,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,MNM,Need new,M. A. Stalin,"Support,money"
75,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,Others,My opinion ,Others,My opinion 
76,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Very good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,Not good ,Edappadi Palanisamy,To make stable government 
77,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,Yes,Neutral,Somewhat dissatisfied,No,May change,DMK / CONGRESS,Nope,M. A. Stalin,Nope
78,Above 50,Male,Yes,Yes,A lot,No,No,I am not registered,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,Others,"All are doing political business 
No one helping development activities. All are lip service. ",M. A. Stalin,Don't know. 
79,18 - 24,Female,No,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,Yes,No,Very Bad,Somewhat dissatisfied,No,Vote for the same party,MNM,New-promising candidate ..,Kamal Haasan,Has concern for the people
80,41 - 50,Female,Yes,No,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.","Influenced by others (Family, Peers)",No,Yes,Yes,Yes,No,Very good,Fully satisfied,No,May change,DMK / CONGRESS,Ok,M. A. Stalin,Leadership
81,18 - 24,Male,Yes,Yes,A little,No,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,No,Neutral,Somewhat satisfied,No,May change,MNM,Good,Kamal Haasan,Yes
82,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Not prefer to say,NTK,Have to give a chance to show their power and knowledge how they will rule.. ,Kamal Haasan,He will bring some changes 
83,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NOTA,All candidates are cheaters they need only for money . No one think this is service ,Others,I prefer educated person or this is social service who think that 
84,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,I'm not sure,I'm not sure,Not prefer to say,Others,Fine candidate,Edappadi Palanisamy,No idea
85,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,I'm not sure,I'm not sure,Not prefer to say,Others,Fine candidate,Edappadi Palanisamy,No idea
86,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,I'm not sure,Not prefer to say,DMK / CONGRESS,Change ,M. A. Stalin,Because the party ruled last time was not stable with their promises 
87,18 - 24,Male,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,May change,DMK / CONGRESS,Dvy,Edappadi Palanisamy,Vjj
88,18 - 24,Male,Yes,No,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,I'm not sure,May change,DMK / CONGRESS,No comments,M. A. Stalin,Every five years people may except change.
89,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat satisfied,No,May change,MNM,Hoping that he will help People,Edappadi Palanisamy,Youth are about to support him
90,Above 50,Male,Yes,Yes,A lot,Yes,Yes,I do not have reliable transportation to voting poll,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,"I vote for the party 
",M. A. Stalin,Because of the parties supporting him
